SystemButton,Data/Sound/Se/All/Button.mp3,All,SE,0.5,False,2
SystemSelect,Data/Sound/Se/All/Select.mp3,All,SE,0.4,False,2
HURUHATA,Data/Sound/BGM/BGM.m4a,Title,BGM,0.5,True,1
Battle,Data/Sound/BGM/Battle.mp3,Game,BGM,0.55,True,1
CriticalDamaged,Data/Sound/Se/Game/Boss/CriticalDamaged.mp3,Game,SE,0.7,False,4
Damaged,Data/Sound/Se/Game/Damaged.mp3,Game,SE,0.5,False,8
PlayerSimpleAttack,Data/Sound/Se/Game/Player/PlayerSimpleAttack.mp3,Game,SE,0.5,False,1
PlayerTripleAttack,Data/Sound/Se/Game/Player/PlayerTripleAttack.mp3,Game,SE,0.5,False,3
TackleCharge,Data/Sound/Se/Game/Player/TackleCharge.mp3,Game,SE,0.8,False,1
TackleMove,Data/Sound/Se/Game/Player/TackleMove.mp3,Game,SE,0.75,False,1
Headbutt,Data/Sound/Se/Game/Boss/Tomato/Headbutt.mp3,TomatoBoss,SE,0.5,False,1
StampJump,Data/Sound/Se/Game/Boss/Tomato/StampJump.mp3,TomatoBoss,SE,0.7,False,1
StampLand,Data/Sound/Se/Game/Boss/Tomato/StampLand.mp3,TomatoBoss,SE,0.5,False,1
TackleCharge,Data/Sound/Se/Game/Boss/Tomato/TackleCharge.mp3,TomatoBoss,SE,0.8,False,1
TackleMove,Data/Sound/Se/Game/Boss/Tomato/TackleMove.mp3,TomatoBoss,SE,0.75,False,1
TackleRock,Data/Sound/Se/Game/Boss/Tomato/TackleRock.mp3,TomatoBoss,SE,0.5,False,1
Exprosion,Data/Sound/Se/Game/Boss/Grape/Exprosion.mp3,GrapeBoss,SE,0.7,False,5
Kick,Data/Sound/Se/Game/Boss/Grape/Kick.mp3,GrapeBoss,SE,0.8,False,1
StampJump,Data/Sound/Se/Game/Boss/Grape/StampJump.mp3,GrapeBoss,SE,0.7,False,1
StampLand,Data/Sound/Se/Game/Boss/Grape/StampLand.mp3,GrapeBoss,SE,0.5,False,1
Throw,Data/Sound/Se/Game/Boss/Grape/Throw.mp3,GrapeBoss,SE,0.7,False,1
Lobby,Data/Sound/BGM/LobbyBgm.mp3,Lobby,BGM,0.5,True,1
